Field,Aliases,Description,Units,Units-2,Sensor,Manufacturer,Notes,SiteKey
Timestamp,TIMESTAMP,Date and time of data collection ,mm/dd/yyyy hh:mm,Date and time,CR1000X,Campbell Scientific,,New_MET
SeqNum,RECORD,Sequence number of 15min interval,-,None,CR1000X,Campbell Scientific,,New_MET
WindSpeed,"WindSpd_WVc(1),WindSpd_WVc1",Average wind speed,m/s,Meters per second,05103,RM Young,,New_MET
WindDir,"WindSpd_WVc(2),WindSpd_WVc2",Average wind direction,deg N,Degrees from north,05103,RM Young,,New_MET
WindMax,WindSpd_Max,Maximum wind  speed,m/s,Meters per second,05103,RM Young,,New_MET
WindDir_SMM,,Direction of max windspeed,deg N,Degrees from north,05103,RM Young,,New_MET
AirTemp_F_Avg,,Average air temperature,°F,Degrees Fahrenheit,HMP60,Vaisala,,New_MET
RH_Avg,,Average relative humidity,%,Percent,HMP60,Vaisala,,New_MET
DewPt_F_Avg,,Average dew point,°F,Degrees Fahrenheit,HMP60,Vaisala,,New_MET
FuelTemp_Avg,,Average fuel temperature,°F,Degrees Fahrenheit,CS205/107,Campbell Scientific,,New_MET
FuelMoisture_Avg,,Average fuel moisture,% ,Percent,CS506/266,Campbell Scientific,,New_MET
SoilMoist_15cm,"SoilMoist1,SoilMoist(1)",Soil moisture (volumetric water content) 15cm,%,Percent,CS655,Campbell Scientific,,New_MET
SoilMoist_30cm,"SoilMoist2,SoilMoist(2)",Soil moisture (volumetric water content) 30cm,%,Percent,CS655,Campbell Scientific,,New_MET
SoilMoist_50cm,"SoilMoist3,SoilMoist(3)",Soil moisture (volumetric water content) 50cm,%,Percent,CS655,Campbell Scientific,,New_MET
SoilMoist_100cm,"SoilMoist4,SoilMoist(4)",Soil moisture (volumetric water content) 100cm,%,Percent,CS655,Campbell Scientific,,New_MET
SoilEC_15cm,SoilEC1,Soil electical conductivity 15cm,dS/m,Decisiemens per meter,CS655,Campbell Scientific,,New_MET
SoilEC_30cm,SoilEC2,Soil electical conductivity 30cm,dS/m,Decisiemens per meter,CS655,Campbell Scientific,,New_MET
SoilEC_50cm,SoilEC3,Soil electical conductivity 50cm,dS/m,Decisiemens per meter,CS655,Campbell Scientific,,New_MET
SoilEC_100cm,SoilEC4,Soil electical conductivity 100cm,dS/m,Decisiemens per meter,CS655,Campbell Scientific,,New_MET
SoilT_F_15cm,SoilT1_F,Soil temperature 15cm,°F,Degrees Fahrenheit,CS655,Campbell Scientific,,New_MET
SoilT_F_30cm,SoilT2_F,Soil temperature 30cm,°F,Degrees Fahrenheit,CS655,Campbell Scientific,,New_MET
SoilT_F_50cm,SoilT3_F,Soil temperature 50cm,°F,Degrees Fahrenheit,CS655,Campbell Scientific,,New_MET
SoilT_F_100cm,SoilT4_F,Soil temperature 100cm,°F,Degrees Fahrenheit,CS655,Campbell Scientific,,New_MET
SoilPerm_15cm,SoilPerm1,Soil relative dielectric permittivity 15cm,-,Dimensionless,CS655,Campbell Scientific,,New_MET
SoilPerm_30cm,SoilPerm2,Soil relative dielectric permittivity 30cm,-,Dimensionless,CS655,Campbell Scientific,,New_MET
SoilPerm_50cm,SoilPerm3,Soil relative dielectric permittivity 50cm,-,Dimensionless,CS655,Campbell Scientific,,New_MET
SoilPerm_100cm,SoilPerm4,Soil relative dielectric permittivity 100cm,-,Dimensionless,CS655,Campbell Scientific,,New_MET
SoilPeriod_15cm,SoilPeriod1,Soil period average 15cm,µs,Microseconds,CS655,Campbell Scientific,,New_MET
SoilPeriod_30cm,SoilPeriod2,Soil period average 30cm,µs,Microseconds,CS655,Campbell Scientific,,New_MET
SoilPeriod_50cm,SoilPeriod3,Soil period average 50cm,µs,Microseconds,CS655,Campbell Scientific,,New_MET
SoilPeriod_100cm,SoilPeriod4,Soil period average 100cm,µs,Microseconds,CS655,Campbell Scientific,,New_MET
SoilVoltR_15cm,SoilVoltR1,Soil voltage ratio 15cm,-,Dimensionless,CS655,Campbell Scientific,,New_MET
SoilVoltR_30cm,SoilVoltR2,Soil voltage ratio 30cm,-,Dimensionless,CS655,Campbell Scientific,,New_MET
SoilVoltR_50cm,SoilVoltR3,Soil voltage ratio 50cm,-,Dimensionless,CS655,Campbell Scientific,,New_MET
SoilVoltR_100cm,SoilVoltR4,Soil voltage ratio 100cm,-,Dimensionless,CS655,Campbell Scientific,,New_MET
RainGauge_Tot,,15min precipitation total,in,Inches,TE525WS,Texas Electronics,,New_MET
LeafWetness,LWmv_avg,Leaf wetness,mV,Millivolts,LWS,Meter Group,,New_MET
DailyMaxGust,,Maximum wind speed up to that point in the day,m/s,Meters per second,05103,RM Young,,New_MET
TimeofMaxGust,,Time of maximum wind speed up to that point in the day,hhmm,Time of day,CR1000X,Campbell Scientific,,New_MET
DirofMaxGust,,Direction of maximum gust up to that point in the day,deg N,Degrees from north,05103,RM Young,,New_MET
DailyMaxTemp,,Maximum temperature up to that point in the day,°F,Degrees Fahrenheit,HMP60,Vaisala,,New_MET
DailyMinTemp,,Minimum temperature up to that point in the day,°F,Degrees Fahrenheit,HMP60,Vaisala,,New_MET
DailyMaxFuelTemp,,Maximum fuel temperature up to that point in the day,°F,Degrees Fahrenheit,CS205/107,Campbell Scientific,,New_MET
DailyMinFuelMoisture,,Minimum fuel moisture up to that point in the day,%,Percent,CS506/266,Campbell Scientific,,New_MET
DailyRain,,cummulative daily rainfall (resets at midnight),in,Inches,TE525WS,Texas Electronics,,New_MET
LoggerTemp_F_Avg,,Data logger temperature,°F,Degrees Fahrenheit,CR1000X,Campbell Scientific,,New_MET
BatteryVolts_Avg,,Battery voltage,V,Volts,battery,Dakota Lithium,,New_MET
Timestamp,timeStamp,The date and 15min time interval the data was recorded,mm/dd/yyyy hh:mm,Date and time,NA,NA,,GrassMETMeteo
SeqNum,RN,Sequence number of 15min interval,-,None,CR1000X,Campbell Scientific,"This does not run continuously through the record; every time a new program is sent or the logger is power-cycled, the program restarts and record number starts back at 0",GrassMETMeteo
WindSpeed,"windSpeed,WSpd_ms",Windspeed from a cup anemometer,m/s,Meters per second,014A,MetOne,Has historically been reported to underestimate windspeeds due to corrosion on the bearings. Bearings should be replaced every 1-2 years or whenever large discrepancies appear between Windspeed sensors,GrassMETMeteo
WindDir,"windDir,W_Dir",Wind Direction from a wind vane,deg N,Degrees from north,024A  ,MetOne,"Wind vane tail tends to get off-kilter in high winds; it still returns good values, just need to tighten it up with an allan wrench",GrassMETMeteo
WindMax,"windMax,WS_ms_Max",Maximum wind speed recorded via a cup anemometer during the 15min interval,m/s,Meters per second,014A,MetOne,Has historically been reported to underestimate windspeeds due to corrosion on the bearings. Bearings should be replaced every 1-2 years or whenever large discrepancies appear between Windspeed sensors,GrassMETMeteo
WindSpeed2d,"windSpeed2d,WSp_2D",Wind speed,m/s,Meters per second,WINDSONIC,Gill ,Need to make sure the North markers on the sensor head are aligned north.,GrassMETMeteo
